brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
Jaguar,F-TYPE V6 S,2014,62194,Gasoline,3.0 Liter SC ULEV,Automatic,Black,Black,None reported,,32998
Jeep,Wrangler Sahara,2020,22138,Gasoline,3.6 Liter,Automatic,Black,Black,None reported,,38598
Porsche,718 Boxster S,2017,48900,Gasoline,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,62500
Audi,R8 5.2,2014,21800,Gasoline,525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,117000
Lincoln,MKZ Base,2016,68200,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,16750
Chevrolet,S-10 LS Crew Cab,2001,139000,Gasoline,190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,None reported,Yes,7000
Mercedes-Benz,G-Class G 550 4MATIC,2021,76100,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,130000
Lexus,RX 350 RX 350 F SPORT Handling,2022,14330,Gasoline,3.5 Liter DOHC,Automatic,Black,Red,None reported,,54998
BMW,750 i xDrive,2019,41906,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,White,At least 1 accident or damage reported,Yes,45999
Chevrolet,Camaro 2SS,2016,164000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,Yes,21500
Ford,Fusion Hybrid SE,2013,161933,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,Blue,Charcoal Black,None reported,Yes,7945
Hyundai,Santa Cruz 2.5T Limited,2022,22829,Gasoline,2.5L I4 16V PDI DOHC Turbo,Automatic,Hampton Gray,Black,None reported,,34580
Lexus,RX 350 F Sport,2023,5483,Gasoline,2.4L I4 16V PDI DOHC Turbo,8-Speed Automatic,Ultra White,Black,None reported,,59950
Land,Rover Range Rover Evoque S,2020,46891,Gasoline,246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,31000
Chevrolet,Suburban LT,2019,72000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,39000
Porsche,718 Spyder Base,2020,3400,Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,129900
Chevrolet,Camaro 1LT,2021,18000,Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,30000
Jeep,Gladiator Freedom,2021,30630,Gasoline,3.6 Liter,Automatic,Hydro Blue Pearlcoat,Black,None reported,,39998
Toyota,Tacoma Double Cab,2007,24985,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Silver,,,33580
GMC,Yukon Denali Ultimate,2023,9978,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Gold,None reported,Yes,93999
Ford,Shelby GT350R Base,2018,18500,Gasoline,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,M/T,Blue,Black,At least 1 accident or damage reported,Yes,77999
Cadillac,Escalade Premium Luxury Platinum,2021,72843,Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,Sandstone Metallic,Dark Auburn,None reported,Yes,79990
Buick,LaCrosse Base,2017,67500,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,20000
Tesla,Model X Long Range Plus,2020,43534,,534.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,Black,None reported,Yes,65990
Mercedes-Benz,E-Class E 300 4MATIC,2017,36900,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Beige,None reported,Yes,28500
Chevrolet,Tahoe LT,2017,61720,E85 Flex Fuel,5.3 Liter,Automatic,Silver,Jet Black,At least 1 accident or damage reported,,39998
Kia,Telluride EX,2022,35938,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Glacial White Pearl,Black,None reported,,43329
Toyota,Tundra Hybrid Limited,2023,10748,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,Midnight Black Metallic,Black,None reported,,63100
Audi,S8 4.0T quattro,2023,4457,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,Mythos Black Metallic,Black,None reported,,107900
Nissan,Armada Platinum,2018,108206,Gasoline,5.6 Liter,Automatic,White,Charcoal,At least 1 accident or damage reported,,26498
Land,Rover Discovery HSE,2020,32705,Diesel,3.0 Liter,Automatic,Portofino Blue Metallic,Tan/Ebony/Ebony,None reported,,46598
Kia,Telluride S,2020,74026,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Sangria Red,Black,None reported,,32913
Lexus,GS 350 F Sport,2020,24651,Gasoline,3.5L V6 24V PDI DOHC,6-Speed Automatic,Ultra White,Black,None reported,,45950
BMW,X6 xDrive40i,2022,13000,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Orange,None reported,Yes,69000
Land,Rover Range Rover P400 SE SWB,2023,11700,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,White,None reported,Yes,133500
Chevrolet,Silverado 3500 High Country,2015,77500,Diesel,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Brown,None reported,Yes,54000
Maserati,Quattroporte Sport GT,2007,82000,Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,7999
Dodge,Viper GTC,2017,1389,Gasoline,645.0HP 8.4L 10 Cylinder Engine Gasoline Fuel,M/T,Black,Black,None reported,Yes,489995
Ford,Expedition Limited,2021,29830,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Magnetic Metallic,Ebony,None reported,,55329
Mazda,Mazda6 i Grand Touring,2016,83100,–,–,A/T,White,White,None reported,Yes,17800
Kia,Optima LX,2019,62660,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,16500
Land,Rover Range Rover Sport SVR,2018,56006,Gasoline,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,White,None reported,Yes,59000
Lexus,RX 450h F SPORT Handling,2021,31365,Hybrid,3.5 Liter DOHC,Variable,Beige,Red,None reported,,52998
Lincoln,Town Car Base,2004,27600,Gasoline,239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,White,None reported,Yes,14900
Honda,Civic Si,2012,47245,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,19600
Lexus,RX 450h Base,2017,73948,Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,White,Beige,None reported,Yes,31990
RAM,1500 Classic Warlock,2019,36757,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,Diamond Black,Diesel Gray / Black,None reported,Yes,31953
Tesla,Model Y Long Range,2023,4786,,425.0HP Electric Motor Electric Fuel System,A/T,White,White,None reported,Yes,48000
Audi,RS 3 2.5T,2023,1900,Gasoline,401.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,78900
Hyundai,Genesis Coupe 3.8 R-Spec,2014,52060,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,15000
Porsche,Boxster RS 60 Spyder,2008,58000,Gasoline,303.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,41500
Ford,F-250 XLT,2010,52246,Diesel,6.4L V8 32V DDI OHV Twin Turbo Diesel,6-Speed Manual,Tan,Medium Stone,None reported,Yes,26095
Kia,Sorento EX,2016,64290,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Snow White Pearl,Satin Black,None reported,,16999
Nissan,370Z Touring,2009,37500,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Orange,None reported,Yes,21500
Genesis,G70 2.0T,2023,2121,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,Yes,40750
Land,Rover Range Rover Sport Supercharged,2013,57000,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,26000
Mercedes-Benz,S-Class S 560 4MATIC,2020,22000,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,69500
Ford,Bronco Wildtrak Advanced,2023,2000,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,66500
RAM,1500 SLT,2018,61802,E85 Flex Fuel,305.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,8-Speed A/T,Black,Gray,None reported,Yes,32000
Dodge,Challenger R/T,2010,73000,–,–,A/T,Black,Black,None reported,Yes,17500
Chevrolet,Sonic LT,2013,110000,–,–,A/T,Gray,Black,None reported,Yes,7500
Jeep,Grand Cherokee Laredo,2013,106700,E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,13500
Audi,RS 5 4.2,2013,75965,Gasoline,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,35999
Jeep,Grand Cherokee L Overland,2022,31804,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Silver Zynith,Global Black,At least 1 accident or damage reported,Yes,48995
Mazda,MX-5 Miata Base,1992,125800,–,–,5-Speed M/T,Red,Black,None reported,Yes,11500
Chrysler,Crossfire Limited,2005,116320,Gasoline,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Red,At least 1 accident or damage reported,Yes,6000
Audi,S5 4.2 Premium Plus,2011,156875,Gasoline,354.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Red,At least 1 accident or damage reported,Yes,9900
Tesla,Model X Base,2023,197,,670.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,85000
Cadillac,CT4 Luxury,2020,35200,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,28500
Maserati,Ghibli S Q4,2014,76000,Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,19000
Jaguar,F-PACE 25t Premium,2019,29000,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,34500
BMW,750 i xDrive,2019,33499,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,44495
Acura,TLX V6 Advance,2019,25779,Gasoline,3.5L V6 24V GDI SOHC,9-Speed Automatic,Platinum White Pearl,Ebony,At least 1 accident or damage reported,,30999
GMC,Terrain SLT-1,2015,76296,Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,9500
BMW,i3 Base w/Range Extender,2014,29553,,170.0HP 0.65L Electric Motor Electric Fuel System,1-Speed A/T,Black,Gray,None reported,Yes,12800
Nissan,Versa 1.8 S,2011,109902,Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,4500
Mercedes-Benz,C-Class C 300 4MATIC,2019,23083,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Beige,None reported,Yes,33500
Toyota,Matrix XRS,2003,143600,Gasoline,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,4199
RAM,1500 Limited,2021,22000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,54800
Mercedes-Benz,AMG E 53 Base 4MATIC,2022,13000,Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Silver,Black,None reported,Yes,81500
Audi,A5 2.0T Premium,2018,53000,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Brown,At least 1 accident or damage reported,Yes,28000
Lincoln,Navigator Reserve,2019,44741,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Beige,Beige,None reported,Yes,52999
Audi,A6 3.2 quattro,2008,202000,Gasoline,255.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,5700
Chevrolet,Silverado 1500 LT Crew Cab,2006,215000,Gasoline,345.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,6995
Mercedes-Benz,S-Class S 560,2019,77138,Gasoline,4.0 Liter,Automatic,designo Diamond White,Black,None reported,,49998
Volvo,XC90 T6 Momentum,2018,90641,Gasoline,2.0L I4 16V GDI DOHC,8-Speed Automatic,White,Amber,None reported,,25999
Toyota,Camry SE,2011,177702,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,7700
Mercedes-Benz,Metris Base,2018,58350,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,29497
Chevrolet,Camaro 2LT,2010,86170,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,17000
Mazda,MX-5 Miata Grand Touring,2012,36568,Gasoline,167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Beige,At least 1 accident or damage reported,Yes,20199
Ford,Escape SE,2015,54357,Gasoline,173.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,None reported,Yes,16250
Mercedes-Benz,S-Class S 63 AMG,2015,20394,Gasoline,5.5 Liter,Automatic,Black,Black,At least 1 accident or damage reported,,59598
Kia,Niro EX,2023,7578,Hybrid,1.6L I4 16V GDI DOHC Hybrid,Automatic,Snow White Pearl,Charcoal,None reported,,31113
Porsche,Boxster Base,2010,64800,Gasoline,255.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Gray,At least 1 accident or damage reported,Yes,20900
Toyota,4Runner Trail,2016,117780,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,27750
Hyundai,Kona EV SEL,2019,33100,,201.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,Black,None reported,Yes,18200
Land,Rover Range Rover Evoque SE,2016,86202,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,18750
Ford,E350 Super Duty XLT,2012,163000,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,19550
Mercedes-Benz,SL-Class SL500 Roadster,2004,35400,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Gray,None reported,Yes,24900
Jeep,Compass Trailhawk,2018,31000,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,None reported,Yes,22000
Mercedes-Benz,S-Class S 560 4MATIC,2018,103069,Gasoline,4.0 Liter,Automatic,Anthracite Blue Metallic,Silk Beige/Espresso Brown,None reported,,40998
Mercedes-Benz,G-Class G 550 4MATIC,2021,22480,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,Yes,135800
Tesla,Model X P90D,2016,91000,,691.0HP Electric Motor Electric Fuel System,A/T,Silver,White,None reported,Yes,39500
Lexus,IS-F Base,2010,41500,Gasoline,416.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,44800
BMW,335 i,2010,91545,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,13000
Audi,RS 7 4.0T,2022,4100,Hybrid,591.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Blue,Black,None reported,Yes,162500
Buick,Lucerne CXL,2006,110000,Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,5000
Lincoln,MKX Reserve,2016,88000,Gasoline,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,18500
Nissan,Armada Platinum,2018,42833,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Gray,None reported,Yes,37000
Porsche,911 Carrera,2020,23278,Gasoline,3.0 Liter,Automatic,Blue,–,None reported,,114998
Mercedes-Benz,E-Class 400E,1993,106983,–,–,4-Speed A/T,White,Gray,None reported,Yes,15300
BMW,435 Gran Coupe i,2015,60100,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,None reported,Yes,24995
Jeep,Wagoneer Series III,2022,17381,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Velvet Red Pearlcoat,Global Black,None reported,Yes,69685
Cadillac,ATS 2.5L,2013,63172,Gasoline,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,12995
Ford,Transit Connect XLT,2010,72000,Gasoline,136.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,10900
Kia,EV6 GT-Line,2022,4820,,320.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,None reported,Yes,47500
Audi,S5 3.0T Premium Plus,2014,67900,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,,,25990
Toyota,Tundra SR,2018,51000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,38000
Jeep,Wrangler Unlimited Freedom Edition,2013,54500,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,35000
Maserati,Quattroporte Base,2006,61840,Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,16500
Mercedes-Benz,CLS-Class CLS500,2006,28950,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Beige,,,16750
GMC,Sierra 3500 SLE,2002,300000,Diesel,300.0HP 6.6L 8 Cylinder Engine Diesel Fuel,5-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,5000
Nissan,Frontier SL,2011,103400,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,17000
BMW,M5 Base,2023,816,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Alpine White,Black,None reported,,109900
Porsche,911 R,2016,719,Gasoline,4.0L H6 24V GDI DOHC,6-Speed Manual,White,Black / Brown,None reported,Yes,489000
Land,Rover Defender X-Dynamic SE,2023,3678,Hybrid,3.0 Liter,Automatic,Fuji White,Black,None reported,,81998
Ford,F-150 XL,2016,107000,E85 Flex Fuel,385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,22000
BMW,M8 Competition,2022,5018,Gasoline,4.4 Liter Twin Turbo,Automatic,–,Sakhir Orange/Black,None reported,,114998
Porsche,911 Carrera S,2010,13850,Gasoline,385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,71400
Volvo,XC70 3.2,2008,46700,Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,,,11400
Chrysler,300 Touring,2021,21478,Gasoline,3.6 Liter,Automatic,Silver Mist,Black,None reported,,27798
Honda,Insight EX,2020,64200,Hybrid,151.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Black,At least 1 accident or damage reported,Yes,20499
Porsche,Cayman S,2006,31075,Gasoline,3.4L H6 24V MPFI DOHC,5-Speed Automatic,Black,Black / Stone Grey,None reported,Yes,36250
Tesla,Model Y Performance,2022,25250,,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,White,None reported,Yes,47800
BMW,M5 Competition,2020,35400,Gasoline,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Orange,Black,None reported,Yes,71950
Audi,S4 4.2 quattro,2004,74030,Gasoline,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,16000
Ford,F-250 Platinum,2021,48549,Diesel,6.7L V8 32V DDI OHV Turbo Diesel,Automatic,Antimatter Blue Metallic,Black,None reported,,69998
Kia,Seltos S,2023,5182,Gasoline,146.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,32500
RAM,ProMaster 2500 High Roof,2019,31681,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,33500
BMW,M760 M760i xDrive,2020,23430,Gasoline,6.6 Liter Twin Turbo,Automatic,White,Black,None reported,,80998
Mercedes-Benz,E-Class E 400,2015,30300,Gasoline,329.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,29000
Cadillac,XTS Luxury,2016,112000,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,14599
INFINITI,Q50 Premium,2014,127356,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,19990
Volkswagen,Touareg V6 Executive,2017,50600,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Brown,At least 1 accident or damage reported,Yes,28890
Chevrolet,Suburban 1500 LTZ,2011,194000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,9950
Toyota,Tundra SR5,2021,33455,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Green,Black,None reported,Yes,44750
BMW,X1 sDrive28i,2022,43000,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,35750
Mercedes-Benz,GL-Class GL 550 4MATIC,2016,46102,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,None reported,Yes,35300
Cadillac,XTS Luxury,2019,59000,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,21000
Jaguar,XJ8 Base,2004,134000,Gasoline,294.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,9500
Chevrolet,Camaro ZL1,2020,3715,Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,150000
Mercedes-Benz,Sprinter 2500,2012,100245,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,White,–,At least 1 accident or damage reported,Yes,24000
Mercedes-Benz,C-Class C 300 4MATIC,2022,8583,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Cirrus Silver Metallic,AMG Black,None reported,,42999
Dodge,Dakota SLT,2003,141800,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,5700
Audi,A5 2.0T Premium Plus,2012,77000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,13800
Audi,A5 2.0T Premium,2018,67035,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Pink,Brown,At least 1 accident or damage reported,Yes,31500
Audi,S5 3.0 Premium Plus,2012,61450,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Gray,None reported,Yes,19500
Porsche,Panamera GTS,2015,39500,Gasoline,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,52590
Mercedes-Benz,AMG GT C,2020,6600,Gasoline,550.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,128900
Chevrolet,Camaro 2SS,2023,2300,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,51500
Audi,Q7 Premium Plus,2023,10601,Hybrid,3.0 Liter TFSI,Automatic,Mythos Black,Black,None reported,,61998
Maserati,GranTurismo MC,2018,18000,Gasoline,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,67000
GMC,Sierra 2500 AT4,2022,31681,Gasoline,6.6L V8 16V GDI OHV,Automatic,Cayenne Red Tintcoat,Jet Black,At least 1 accident or damage reported,,67963
Cadillac,XT6 Sport AWD,2020,24114,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Garnet Red Metallic,Jet Black,At least 1 accident or damage reported,,49427
Jeep,Grand Cherokee L Laredo,2022,22109,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Bright White Clearcoat,Global Black,,,43389
Chevrolet,Avalanche 1500 LT,2012,148000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,None reported,Yes,18000
BMW,M5 Base,2018,41000,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,None reported,Yes,60200
Nissan,Titan SE,2009,127600,E85 Flex Fuel,317.0HP 5.6L 8 Cylinder Engine Flex Fuel Capability,A/T,Brown,Gray,None reported,Yes,19500
Dodge,Ram 1500 SRT-10 Quad Cab,2005,138450,Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,19000
